met1,met2,speed,time
4214.1,4215.1,4213.1,0:0:18.36
4204.3,4205.3,4203.3,0:0:18.45
4302.1,4303.1,4125.1,0:0:18.51
4126.1,4127.1,4506.4,0:0:18.54
4331.4,4332.4,4330.4,0:0:18.59
4536.7,4537.7,4174.0,0:0:18.67
4175.0,4537.7,4174.0,0:0:18.69
4468.3,4469.3,4477.0,0:0:18.74
4566.0,4567.0,4222.9,0:0:18.84
4223.9,4224.9,4183.8,0:0:18.86
4175.0,4185.8,4174.0,0:0:18.89
4175.0,4176.0,4213.1,0:0:18.91
4214.1,4215.1,4525.9,0:0:18.93
4526.9,4527.9,4174.0,0:0:18.96
4175.0,4176.0,4174.0,0:0:18.98
4175.0,4176.0,4516.1,0:0:18.99
4517.1,4518.1,4516.1,0:0:19.00
4145.7,4146.7,4144.7,0:0:19.02
4448.7,4449.7,4516.1,0:0:19.05
4517.1,4449.7,4516.1,0:0:19.07
4517.1,4518.1,4516.1,0:0:19.11
4517.1,4518.1,4252.2,0:0:19.14
4253.2,4518.1,4252.2,0:0:19.17
4253.2,4254.2,4252.2,0:0:19.21
4253.2,4254.2,4056.7,0:0:19.24
4057.7,4254.2,4056.7,0:0:19.27
4057.7,4058.7,4056.7,0:0:19.31
4057.7,4058.7,3988.3,0:0:19.34
4654.0,4655.0,4653.0,0:0:19.41
4145.7,4146.7,4389.1,0:0:19.43
4487.8,4488.8,4486.8,0:0:19.47
4135.9,4488.8,4134.9,0:0:19.49
4135.9,4136.9,4437.9,0:0:19.54
4438.9,4136.9,4437.9,0:0:19.57
4438.9,4439.9,4437.9,0:0:19.60
4438.9,4439.9,4183.8,0:0:19.64
4282.5,4655.0,4281.5,0:0:19.70
4175.0,4176.0,4545.5,0:0:19.74
4546.5,4176.0,4545.5,0:0:19.75
4204.3,4166.2,4203.3,0:0:19.89
4624.7,4625.7,4623.7,0:0:19.95
4155.4,4146.7,4154.4,0:0:19.99
4605.1,4606.1,4604.1,0:0:20.04
4165.2,4136.9,4164.2,0:0:20.07
4165.2,4166.2,4164.2,0:0:20.08
4155.4,4156.4,4154.4,0:0:20.11
4135.9,4136.9,4604.1,0:0:20.14
4184.8,4185.8,4594.3,0:0:20.21
4243.4,4596.3,4242.4,0:0:20.24
4243.4,4244.4,4242.4,0:0:20.25
4243.4,4244.4,4555.2,0:0:20.26
4135.9,4088.0,4134.9,0:0:20.31
4546.5,4136.9,4545.5,0:0:20.33
4116.3,4117.3,4115.3,0:0:20.36
4096.8,4117.3,4095.8,0:0:20.38
4536.7,4097.8,4535.7,0:0:20.40
4155.4,4156.4,4154.4,0:0:20.43
4233.6,4234.6,4232.6,0:0:20.45
4155.4,4156.4,4154.4,0:0:20.48
4087.0,4088.0,4086.0,0:0:20.50
4644.2,4645.2,4643.2,0:0:20.52
4644.2,4645.2,4545.5,0:0:20.54
4546.5,4645.2,4545.5,0:0:20.57
4546.5,4547.5,4262.0,0:0:20.64
4263.0,4557.2,4262.0,0:0:20.75
4155.4,4156.4,4154.4,0:0:20.78
4536.7,4537.7,4154.4,0:0:20.81
