speed,met1,met2,time
3959.9,3960.9,3988.3,0:0:9.71
3989.3,3960.9,3988.3,0:0:9.73
3989.3,3990.3,3988.3,0:0:9.76
3989.3,3990.3,3939.4,0:0:9.79
3940.4,3990.3,3939.4,0:0:9.82
3940.4,3941.4,3440.9,0:0:9.87
3441.9,3941.4,3440.9,0:0:9.90
3441.9,3442.9,3440.9,0:0:9.93
3441.9,3442.9,3450.6,0:0:9.96
3451.6,3452.6,3607.0,0:0:10.02
3608.0,3452.6,3607.0,0:0:10.05
3608.0,3609.0,3607.0,0:0:10.07
3608.0,3609.0,3548.4,0:0:10.10
3549.4,3550.4,3587.5,0:0:10.17
3588.5,3589.5,3587.5,0:0:10.22
3764.4,3589.5,3763.4,0:0:10.27
3764.4,3765.4,3616.8,0:0:10.31
3627.6,3628.6,3861.2,0:0:10.44
3862.2,3628.6,3861.2,0:0:10.47
3862.2,3863.2,3861.2,0:0:10.50
3862.2,3863.2,4115.3,0:0:10.52
4116.3,3863.2,4115.3,0:0:10.55
4116.3,4117.3,4115.3,0:0:10.58
4116.3,4117.3,3968.7,0:0:10.61
3969.7,4117.3,3968.7,0:0:10.63
3969.7,3970.7,3968.7,0:0:10.66
3969.7,3970.7,3763.4,0:0:10.69
3764.4,3970.7,3763.4,0:0:10.71
3764.4,3765.4,3763.4,0:0:10.74
3764.4,3765.4,3431.1,0:0:10.77
3432.1,3765.4,3431.1,0:0:10.80
3432.1,3433.1,3431.1,0:0:10.82
3432.1,3433.1,3509.3,0:0:10.85
3510.3,3433.1,3509.3,0:0:10.88
3510.3,3511.3,3509.3,0:0:10.90
3510.3,3511.3,3538.6,0:0:10.93
3539.6,3540.6,3538.6,0:0:10.98
3539.6,3540.6,3519.1,0:0:11.01
3520.1,3540.6,3519.1,0:0:11.04
3520.1,3521.1,3519.1,0:0:11.07
3520.1,3521.1,3499.5,0:0:11.11
3500.5,3521.1,3499.5,0:0:11.14
3500.5,3501.5,3499.5,0:0:11.18
3500.5,3501.5,3489.7,0:0:11.21
3627.6,3628.6,3626.6,0:0:11.28
3686.2,3628.6,3685.2,0:0:11.33
3686.2,3687.2,3675.5,0:0:11.38
3676.5,3677.5,3655.9,0:0:11.45
3627.6,3628.6,3626.6,0:0:11.56
3676.5,3628.6,3675.5,0:0:11.61
3676.5,3677.5,4056.7,0:0:11.65
4057.7,3677.5,4056.7,0:0:11.68
4057.7,4058.7,4056.7,0:0:11.71
4057.7,4058.7,3548.4,0:0:11.74
3549.4,4058.7,3548.4,0:0:11.76
3549.4,3550.4,3548.4,0:0:11.79
3549.4,3550.4,3558.2,0:0:11.82
3559.2,3550.4,3558.2,0:0:11.84
3559.2,3560.2,3558.2,0:0:11.87
3559.2,3560.2,3567.9,0:0:11.90
3568.9,3560.2,3567.9,0:0:11.93
3568.9,3569.9,3567.9,0:0:11.95
3568.9,3569.9,3587.5,0:0:11.98
3588.5,3569.9,3587.5,0:0:12.01
3588.5,3589.5,3587.5,0:0:12.03
3588.5,3589.5,3812.3,0:0:12.06
3813.3,3589.5,3812.3,0:0:12.09
3813.3,3814.3,4066.5,0:0:12.14
4067.5,3814.3,4066.5,0:0:12.17
4067.5,4068.5,4066.5,0:0:12.19
4067.5,4068.5,3929.6,0:0:12.22
3930.6,4068.5,3929.6,0:0:12.25
3930.6,3931.6,3929.6,0:0:12.29
3881.7,3882.7,3499.5,0:0:12.37
3500.5,3501.5,3499.5,0:0:12.41
4038.1,3501.5,4037.1,0:0:12.46
3881.7,3882.7,3998.0,0:0:12.57
3999.0,4000.0,3998.0,0:0:12.62
3520.1,3521.1,3519.1,0:0:12.69
3520.1,3521.1,3548.4,0:0:12.72
3549.4,3521.1,3548.4,0:0:12.74
3549.4,3550.4,3548.4,0:0:12.77
3549.4,3550.4,3567.9,0:0:12.80
3568.9,3550.4,3567.9,0:0:12.82
3568.9,3569.9,3567.9,0:0:12.85
3568.9,3569.9,3567.9,0:0:12.88
3568.9,3569.9,3567.9,0:0:12.90
3568.9,3569.9,3567.9,0:0:12.93
3568.9,3569.9,3998.0,0:0:12.96
3999.0,3569.9,3998.0,0:0:12.99
3999.0,4000.0,3998.0,0:0:13.01
3999.0,4000.0,3988.3,0:0:13.04
3989.3,4000.0,3988.3,0:0:13.07
3627.6,3491.7,3626.6,0:0:13.20
3627.6,3628.6,3626.6,0:0:13.23
3627.6,3628.6,3558.2,0:0:13.25
3559.2,3628.6,3558.2,0:0:13.28
3559.2,3560.2,3558.2,0:0:13.31
3549.4,3560.2,3548.4,0:0:13.36
3549.4,3550.4,3548.4,0:0:13.39
3549.4,3550.4,3577.7,0:0:13.41
3578.7,3550.4,3577.7,0:0:13.44
3578.7,3579.7,3577.7,0:0:13.47
3588.5,3589.5,3587.5,0:0:13.54
3598.3,3589.5,3597.3,0:0:13.59
3598.3,3599.3,3587.5,0:0:13.63
3588.5,3589.5,3587.5,0:0:13.68
4135.9,3589.5,4134.9,0:0:13.73
3842.6,4136.9,3841.6,0:0:13.80
3842.6,3843.6,3841.6,0:0:13.82
3490.7,3843.6,3489.7,0:0:13.87
3490.7,3491.7,3489.7,0:0:13.90
3891.5,3892.5,3890.5,0:0:13.97
3891.5,3892.5,3567.9,0:0:13.99
3568.9,3892.5,3567.9,0:0:14.02
3568.9,3569.9,3567.9,0:0:14.05
3920.8,3569.9,3919.8,0:0:14.10
3920.8,3921.8,3919.8,0:0:14.12
3920.8,3921.8,3489.7,0:0:14.15
3490.7,3921.8,3489.7,0:0:14.18
3490.7,3491.7,3489.7,0:0:14.20
3490.7,3491.7,3548.4,0:0:14.23
3549.4,3491.7,3548.4,0:0:14.26
3549.4,3550.4,3548.4,0:0:14.29
3549.4,3550.4,3558.2,0:0:14.31
3559.2,3550.4,3558.2,0:0:14.34
3559.2,3560.2,3558.2,0:0:14.37
3559.2,3560.2,3577.7,0:0:14.39
3578.7,3560.2,3577.7,0:0:14.42
3696.0,3697.0,3695.0,0:0:14.52
3696.0,3697.0,3587.5,0:0:14.54
3588.5,3697.0,3587.5,0:0:14.57
3588.5,3589.5,3587.5,0:0:14.60
4018.6,3589.5,4017.6,0:0:14.65
4018.6,4019.6,4017.6,0:0:14.67
3500.5,3501.5,3499.5,0:0:14.74
3578.7,3501.5,3577.7,0:0:14.79
3578.7,3579.7,3988.3,0:0:14.84
3989.3,3990.3,3988.3,0:0:14.89
3568.9,3990.3,3567.9,0:0:14.93
3588.5,3589.5,3587.5,0:0:15.02
3588.5,3589.5,3587.5,0:0:15.05
3588.5,3589.5,3587.5,0:0:15.08
3588.5,3589.5,3587.5,0:0:15.10
3588.5,3589.5,3597.3,0:0:15.13
3598.3,3589.5,3597.3,0:0:15.16
3598.3,3599.3,3597.3,0:0:15.18
3598.3,3599.3,3597.3,0:0:15.21
3598.3,3599.3,3597.3,0:0:15.24
3598.3,3599.3,3597.3,0:0:15.27
3598.3,3599.3,3851.4,0:0:15.29
3852.4,3853.4,3851.4,0:0:15.34
3852.4,3853.4,3499.5,0:0:15.37
3500.5,3853.4,3499.5,0:0:15.39
3500.5,3501.5,3900.3,0:0:15.44
3901.3,3501.5,3900.3,0:0:15.47
3901.3,3902.3,3900.3,0:0:15.50
3901.3,3902.3,4046.9,0:0:15.52
4047.9,3902.3,4046.9,0:0:15.55
4047.9,4048.9,4046.9,0:0:15.58
3940.4,4048.9,3939.4,0:0:15.63
3940.4,3941.4,3939.4,0:0:15.66
3940.4,3941.4,3655.9,0:0:15.69
3656.9,3941.4,3655.9,0:0:15.71
3656.9,3657.9,3509.3,0:0:15.76
3510.3,3657.9,3509.3,0:0:15.79
3510.3,3511.3,3685.2,0:0:15.84
3686.2,3687.2,4027.4,0:0:15.90
4028.4,4029.4,4027.4,0:0:15.95
3520.1,4029.4,3519.1,0:0:16.00
3520.1,3521.1,3558.2,0:0:16.05
3559.2,3560.2,3548.4,0:0:16.12
3549.4,3550.4,3616.8,0:0:16.18
3617.8,3618.8,3616.8,0:0:16.23
3617.8,3618.8,3724.3,0:0:16.26
3725.3,3618.8,3724.3,0:0:16.29
3725.3,3726.3,3724.3,0:0:16.31
3725.3,3726.3,4095.8,0:0:16.34
4096.8,3726.3,4095.8,0:0:16.37
4096.8,4097.8,4095.8,0:0:16.40
4096.8,4097.8,3822.1,0:0:16.42
3823.1,3824.1,3822.1,0:0:16.47
3823.1,3824.1,3753.7,0:0:16.50
3754.7,3824.1,3753.7,0:0:16.52
3754.7,3755.7,3753.7,0:0:16.55
3715.6,3755.7,3714.6,0:0:16.60
3715.6,3716.6,3714.6,0:0:16.63
3715.6,3716.6,3841.6,0:0:16.65
3842.6,3716.6,3841.6,0:0:16.68
3842.6,3843.6,3841.6,0:0:16.71
3842.6,3843.6,3626.6,0:0:16.73
3627.6,3628.6,3626.6,0:0:16.79
3627.6,3628.6,3675.5,0:0:16.82
3676.5,3628.6,3675.5,0:0:16.84
3784.0,3677.5,3783.0,0:0:16.91
3784.0,3785.0,3783.0,0:0:16.94
3696.0,3785.0,3695.0,0:0:16.99
3696.0,3697.0,3695.0,0:0:17.03
3696.0,3697.0,3695.0,0:0:17.08
3774.2,3775.2,3773.2,0:0:17.15
3774.2,3775.2,3655.9,0:0:17.18
3656.9,3657.9,3704.8,0:0:17.25
3705.8,3706.8,3704.8,0:0:17.29
3705.8,3706.8,3880.7,0:0:17.32
3881.7,3706.8,3880.7,0:0:17.35
3881.7,3882.7,3880.7,0:0:17.37
3881.7,3882.7,3743.9,0:0:17.40
3744.9,3882.7,3743.9,0:0:17.43
3744.9,3745.9,3743.9,0:0:17.46
3744.9,3745.9,3636.4,0:0:17.48
3637.4,3745.9,3636.4,0:0:17.51
3637.4,3638.4,3636.4,0:0:17.54
3637.4,3638.4,3616.8,0:0:17.56
3617.8,3638.4,3616.8,0:0:17.59
3617.8,3618.8,3616.8,0:0:17.62
3529.8,3618.8,3528.8,0:0:17.67
3529.8,3530.8,3528.8,0:0:17.69
3529.8,3530.8,3958.9,0:0:17.72
3959.9,3530.8,3958.9,0:0:17.75
3959.9,3960.9,3958.9,0:0:17.77
3959.9,3960.9,3548.4,0:0:17.80
3549.4,3960.9,3548.4,0:0:17.83
3549.4,3550.4,3440.9,0:0:17.88
3441.9,3550.4,3440.9,0:0:17.91
3441.9,3442.9,3440.9,0:0:17.94
3441.9,3442.9,3480.0,0:0:17.96
3481.0,3442.9,3480.0,0:0:17.99
3481.0,3482.0,3480.0,0:0:18.02
3481.0,3482.0,3480.0,0:0:18.06
3608.0,3609.0,3949.2,0:0:18.17
3950.2,3951.2,3949.2,0:0:18.22
3529.8,3951.2,3528.8,0:0:18.27
3872.0,3530.8,3871.0,0:0:18.34
4057.7,3873.0,4056.7,0:0:18.41
4057.7,4058.7,4056.7,0:0:18.43
4057.7,4058.7,3548.4,0:0:18.46
3549.4,4058.7,3548.4,0:0:18.49
3549.4,3550.4,3548.4,0:0:18.52
3549.4,3550.4,3567.9,0:0:18.54
3568.9,3550.4,3567.9,0:0:18.57
3568.9,3569.9,3567.9,0:0:18.60
3959.9,3569.9,3958.9,0:0:18.65
3959.9,3960.9,3958.9,0:0:18.67
3959.9,3960.9,3489.7,0:0:18.70
3490.7,3960.9,3489.7,0:0:18.73
3490.7,3491.7,3988.3,0:0:18.77
3989.3,3491.7,3988.3,0:0:18.80
3989.3,3990.3,3988.3,0:0:18.83
4018.6,3990.3,4017.6,0:0:18.88
4018.6,4019.6,4017.6,0:0:18.90
4018.6,4019.6,3489.7,0:0:18.93
3490.7,4019.6,3489.7,0:0:18.96
3490.7,3491.7,3489.7,0:0:18.98
3520.1,3491.7,3519.1,0:0:19.04
3520.1,3521.1,3519.1,0:0:19.07
3520.1,3521.1,3607.0,0:0:19.09
3608.0,3521.1,3607.0,0:0:19.12
3608.0,3609.0,3607.0,0:0:19.15
3862.2,3609.0,3861.2,0:0:19.19
3862.2,3863.2,3861.2,0:0:19.22
3705.8,3863.2,3704.8,0:0:19.27
3705.8,3706.8,3704.8,0:0:19.34
3705.8,3706.8,3910.1,0:0:19.39
3911.1,3912.1,3910.1,0:0:19.43
3705.8,3912.1,3704.8,0:0:19.48
3705.8,3706.8,3743.9,0:0:19.53
3744.9,3706.8,3743.9,0:0:19.56
3744.9,3745.9,3743.9,0:0:19.58
3744.9,3745.9,3626.6,0:0:19.61
3627.6,3745.9,3626.6,0:0:19.64
3627.6,3628.6,3626.6,0:0:19.67
3627.6,3628.6,3714.6,0:0:19.69
3715.6,3628.6,3714.6,0:0:19.72
3715.6,3716.6,3714.6,0:0:19.75
3715.6,3716.6,3880.7,0:0:19.77
3881.7,3716.6,3880.7,0:0:19.80
3881.7,3882.7,3880.7,0:0:19.83
3881.7,3882.7,3900.3,0:0:19.85
3901.3,3882.7,3900.3,0:0:19.88
3901.3,3902.3,3900.3,0:0:19.91
3901.3,3902.3,3665.7,0:0:19.93
3666.7,3902.3,3665.7,0:0:19.96
3666.7,3667.7,3665.7,0:0:19.99
3666.7,3667.7,3401.8,0:0:20.02
3402.8,3403.8,3401.8,0:0:20.07
3402.8,3403.8,3450.6,0:0:20.10
3451.6,3403.8,3450.6,0:0:20.13
3451.6,3452.6,3450.6,0:0:20.16
3451.6,3452.6,3460.4,0:0:20.19
3461.4,3452.6,3460.4,0:0:20.23
3461.4,3462.4,3460.4,0:0:20.26
3461.4,3462.4,3440.9,0:0:20.29
3588.5,3589.5,3587.5,0:0:20.37
3676.5,3589.5,3675.5,0:0:20.42
3676.5,3677.5,3616.8,0:0:20.47
3617.8,3618.8,3861.2,0:0:20.53
3862.2,3863.2,3861.2,0:0:20.58
3813.3,3863.2,3812.3,0:0:20.63
3813.3,3814.3,3812.3,0:0:20.66
3813.3,3814.3,3783.0,0:0:20.68
3901.3,3785.0,3900.3,0:0:20.77
3901.3,3902.3,3900.3,0:0:20.80
3901.3,3902.3,3724.3,0:0:20.83
3725.3,3902.3,3724.3,0:0:20.85
4067.5,3775.2,4066.5,0:0:21.02
4067.5,4068.5,4066.5,0:0:21.04
4067.5,4068.5,3939.4,0:0:21.07
3940.4,4068.5,3939.4,0:0:21.10
3940.4,3941.4,3939.4,0:0:21.13
3940.4,3941.4,3714.6,0:0:21.15
3920.8,3716.6,3919.8,0:0:21.25
3920.8,3921.8,3919.8,0:0:21.27
3696.0,3921.8,3695.0,0:0:21.32
3696.0,3697.0,3695.0,0:0:21.35
3696.0,3697.0,3499.5,0:0:21.38
3510.3,3511.3,3509.3,0:0:21.49
3539.6,3511.3,3538.6,0:0:21.53
3539.6,3540.6,3558.2,0:0:21.58
3559.2,3560.2,3773.2,0:0:21.65
3774.2,3775.2,3773.2,0:0:21.70
3598.3,3775.2,3597.3,0:0:21.75
3598.3,3599.3,3597.3,0:0:21.77
3598.3,3599.3,3685.2,0:0:21.80
3686.2,3599.3,3685.2,0:0:21.83
3686.2,3687.2,3685.2,0:0:21.85
3686.2,3687.2,3538.6,0:0:21.88
3656.9,3540.6,3655.9,0:0:21.97
3656.9,3657.9,3655.9,0:0:22.00
3656.9,3657.9,3675.5,0:0:22.02
3676.5,3677.5,3675.5,0:0:22.07
3676.5,3677.5,3558.2,0:0:22.10
3559.2,3677.5,3558.2,0:0:22.13
3559.2,3560.2,3558.2,0:0:22.15
3559.2,3560.2,3558.2,0:0:22.18
3559.2,3560.2,3558.2,0:0:22.21
3559.2,3560.2,3558.2,0:0:22.24
3559.2,3560.2,3577.7,0:0:22.26
3578.7,3579.7,3577.7,0:0:22.31
3578.7,3579.7,4017.6,0:0:22.34
4018.6,3579.7,4017.6,0:0:22.36
